10,10,SK C&C systems,,,1
1002,1002,经营支援TEAM,10,SK C&C systems,2
100201,100201,法人长,1002,经营支援TEAM,3
100202,100202,Fin Team,1002,经营支援TEAM,3
100203,100203,HR Team,1002,经营支援TEAM,3
100309,100204,策划部,1002,经营支援TEAM,3
,1003,事业1本部,10,SK C&C systems,2
100302,100302,对外事业Team,1003,事业1本部,3
100303,100303,通讯事业Team,1003,事业1本部,3
100304,100304,金融事业Team,1003,事业1本部,3
,1004,事业2本部,10,SK C&C systems,2
100306,100401,SK China事业Team,1004,事业2本部,3
,10040101,RIM,100401,SK China事业Team,4
,10040102,DC,100401,SK China事业Team,4
,10040103,OIM,100401,SK China事业Team,4
,10040104,SK CHINA,100401,SK China事业Team,4
100311,100402,韩国事业Team,1004,事业2本部,3
100312,100403,开发Pool Team,1004,事业2本部,3
100313,100404,Enterprise Solution事业TEAM,1004,事业2本部,3
100301,1005,共同,10,SK C&C systems,2
